label,start,mid,end
左反手回球,289,312,327
左反手回球,362,382,396
左反手回球,423,444,462
左反手回球,774,798,814
左正手發球,1143,1192,1234
左反手回球,1270,1290,1301
左正手回球,1332,1361,1377
左正手回球,1406,1423,1432
左反手發球,1897,1951,1994
左反手回球,2220,2243,2262
左反手回球,2605,2627,2647
左反手發球,3068,3109,3152
左正手回球,3191,3213,3230
左反手發球,3447,3488,3526
左反手回球,3926,3949,3972
左正手回球,4363,4385,4402
左正手發球,4569,4616,4659
左反手回球,4694,4713,4734
左正手回球,4766,4785,4802
左反手發球,5175,5222,5263
左正手回球,5301,5328,5342
左反手回球,5370,5385,5397
左反手回球,5427,5448,5465
左正手回球,5887,5909,5925
左正手回球,5957,5972,5982
左反手發球,6760,6811,6854
左反手回球,6887,6909,6926
左反手回球,6959,6979,7001
左正手發球,7360,7392,7435
左正手回球,7469,7550,7516
左反手回球,7544,7560,7574
左反手回球,7604,7628,7646
左反手回球,7679,7696,7745
